,permno,date,ret,jyear,formdate,dgtw_port,dgtw_vwret,dgtw_xret
1951580,10026,2010-09-30,0.113576166331768,2010,2010-06-30,212,0.11337064292983712,0.0002055234019308766
1955248,10026,2010-10-31,0.0224182829260826,2010,2010-06-30,212,0.03121634982403007,-0.00879806689794747
1958889,10026,2010-11-30,0.067179873585701,2010,2010-06-30,212,0.022233876405195453,0.04494599718050555
1962493,10026,2010-12-31,0.0569945722818375,2010,2010-06-30,212,0.07707741269253882,-0.020082840410701318
1966075,10026,2011-01-31,-0.119610287249088,2010,2010-06-30,212,-0.0040957663905874945,-0.1155145208585005
1969635,10026,2011-02-28,0.0353190489113331,2010,2010-06-30,212,0.04485692041955839,-0.009537871508225292
1973178,10026,2011-03-31,0.0731748566031456,2010,2010-06-30,212,0.02102875848442048,0.052146098118725115
1976693,10026,2011-04-30,0.0796685814857483,2010,2010-06-30,212,0.024660407407062306,0.055008174078685995
1980191,10026,2011-05-31,0.0137741193175316,2010,2010-06-30,212,-0.02144345191354085,0.03521757123107245
1983654,10026,2011-06-30,-0.0301339663565159,2010,2010-06-30,212,-0.01819399316999342,-0.011939973186522478
1987208,10026,2011-07-31,0.0369107350707054,2011,2011-06-30,212,-0.03077993659145505,0.06769067166216045
1990781,10026,2011-08-31,-0.0208937525749207,2011,2011-06-30,212,-0.07326151084229565,0.052367758267374956
1994339,10026,2011-09-30,-0.0482612401247024,2011,2011-06-30,212,-0.09328193133470099,0.04502069120999859
1997870,10026,2011-10-31,0.0728407949209213,2011,2011-06-30,212,0.1271593579719557,-0.05431856305103441
2001374,10026,2011-11-30,0.00640158727765083,2011,2011-06-30,212,0.005075552043052946,0.0013260352345978834
2004858,10026,2011-12-31,0.02949108928442,2011,2011-06-30,212,0.018569423933167382,0.010921665351252618
2008319,10026,2012-01-31,-0.0422297306358814,2011,2011-06-30,212,0.04960350367872364,-0.09183323431460505
2011758,10026,2012-02-29,-0.0168528445065022,2011,2011-06-30,212,0.024922264872826998,-0.0417751093793292
2015178,10026,2012-03-31,0.0482360161840916,2011,2011-06-30,212,0.016837013379266286,0.03139900280482531
2018582,10026,2012-04-30,0.0686237588524818,2011,2011-06-30,212,-0.022116893356317578,0.09074065220879937
2021969,10026,2012-05-31,-0.0176596790552139,2011,2011-06-30,212,-0.057689582183910404,0.0400299031286965
2025331,10026,2012-06-30,0.0755401998758316,2011,2011-06-30,212,0.05806810163097695,0.017472098244854656
2028964,10026,2012-07-31,-0.0221657790243626,2012,2012-06-30,214,4.527959752405859e-05,-0.02221105862188666
